time,ns1:ele,ns2:hr,ns2:cad
00:00:00,146.6000061,122,0
00:00:04,146.3999939,125,0
00:00:08,146.0,126,0
00:00:12,145.6000061,125,0
00:00:16,144.6000061,123,0
00:00:20,144.8000031,123,0
00:00:24,145.1999969,126,42
00:00:28,145.0,123,36
00:00:32,145.8000031,126,36
00:00:36,146.3999939,131,35
00:00:40,147.3999939,134,34
00:00:44,147.6000061,137,34
00:00:48,148.3999939,140,50
00:00:52,149.0,143,53
00:00:56,149.3999939,146,57
00:01:00,149.6000061,149,53
00:01:04,149.8000031,153,55
00:01:08,150.0,156,55
00:01:12,150.3999939,159,55
00:01:16,150.1999969,159,55
00:01:20,148.6000061,157,0
00:01:24,148.0,154,0
00:01:28,148.3999939,151,0
00:01:32,148.3999939,150,0
00:01:36,148.0,153,55
00:01:40,148.1999969,156,55
00:01:44,148.3999939,159,33
00:01:48,149.1999969,158,37
00:01:52,150.6000061,157,34
00:01:56,151.6000061,156,31
00:02:00,152.0,156,31
00:02:04,152.6000061,155,30
00:02:08,153.1999969,156,30
00:02:12,153.3999939,157,30
00:02:16,156.0,159,44
00:02:20,156.6000061,159,47
00:02:24,157.3999939,162,47
00:02:28,159.0,165,49
00:02:32,161.3999939,168,50
00:02:36,163.0,171,48
00:02:40,164.8000031,171,54
00:02:44,165.1999969,174,48
00:02:48,165.1999969,173,38
00:02:52,165.3999939,173,38
00:02:56,164.8000031,170,45
00:03:00,160.1999969,167,45
00:03:04,156.8000031,164,0
00:03:08,153.0,161,0
00:03:12,152.0,160,0
00:03:16,150.6000061,159,45
00:03:20,149.6000061,161,45
00:03:24,149.0,162,45
00:03:28,148.1999969,159,45
00:03:32,148.3999939,160,45
00:03:36,148.8000031,158,45
00:03:40,148.6000061,156,39
00:03:44,150.3999939,156,36
00:03:48,150.6000061,159,36
00:03:52,150.6000061,163,36
00:03:56,150.8000031,166,36
00:04:00,150.8000031,169,35
00:04:04,150.6000061,169,35
00:04:08,150.0,169,0
00:04:12,147.8000031,166,0
00:04:16,146.3999939,166,0
00:04:20,146.3999939,166,32
00:04:24,146.6000061,165,32
00:04:28,146.0,164,32
00:04:32,146.3999939,161,45
00:04:36,147.8000031,162,31
00:04:40,147.8000031,161,0
00:04:44,147.0,161,31
00:04:48,146.6000061,160,37
00:04:52,146.3999939,160,46
00:04:56,146.1999969,157,41
00:05:00,146.0,154,41
00:05:04,146.0,150,41
00:05:08,146.0,147,36
00:05:12,146.0,144,36
00:05:16,145.6000061,141,36
00:05:20,144.8000031,140,36
00:05:24,144.1999969,139,36
00:05:28,145.1999969,142,38
00:05:32,145.1999969,141,52
00:05:36,145.6000061,144,30
00:05:40,146.3999939,147,30
00:05:44,146.8000031,150,30
00:05:48,147.1999969,153,30
00:05:52,148.0,156,46
00:05:56,148.8000031,159,57
00:06:00,149.1999969,163,56
00:06:04,149.6000061,166,44
00:06:08,150.0,169,56
00:06:12,150.0,170,0
00:06:16,148.8000031,167,0
00:06:20,148.1999969,163,0
00:06:24,147.3999939,160,0
00:06:28,147.8000031,158,0
00:06:32,147.8000031,161,38
00:06:36,148.0,164,38
00:06:40,148.6000061,164,41
00:06:44,149.1999969,165,44
00:06:48,149.8000031,164,56
00:06:52,150.1999969,164,56
00:06:56,152.8000031,164,45
00:07:00,154.1999969,164,47
00:07:04,154.3999939,165,46
00:07:08,154.6000061,165,46
00:07:12,154.6000061,165,46
00:07:16,154.6000061,166,46
00:07:20,154.8000031,167,47
00:07:24,155.1999969,167,42
00:07:28,155.6000061,168,46
00:07:32,158.0,169,54
00:07:36,159.1999969,169,42
00:07:40,159.8000031,170,47
00:07:44,160.0,171,47
00:07:48,161.8000031,174,49
00:07:52,162.8000031,176,55
00:07:56,162.8000031,177,36
00:08:00,164.3999939,177,38
00:08:04,164.6000061,177,38
00:08:08,165.0,177,51
00:08:12,165.3999939,176,51
00:08:16,165.3999939,176,37
00:08:20,165.3999939,175,37
00:08:24,165.8000031,175,37
00:08:28,163.0,174,0
00:08:32,156.3999939,172,0
00:08:36,154.0,169,0
00:08:40,152.8000031,166,37
00:08:44,152.3999939,165,37
00:08:48,151.6000061,163,37
00:08:52,150.3999939,161,37
00:08:56,149.3999939,160,51
00:09:00,149.1999969,160,66
00:09:04,149.0,159,83
00:09:08,148.1999969,162,45
00:09:12,148.6000061,160,0
00:09:16,149.0,157,0
00:09:20,148.6000061,154,0
00:09:24,149.8000031,151,39
00:09:28,150.3999939,154,0
00:09:32,150.3999939,156,30
00:09:36,150.3999939,157,30
00:09:40,150.8000031,160,30
00:09:44,150.8000031,163,31
00:09:48,150.8000031,166,39
00:09:52,150.6000061,169,39
00:09:56,149.0,170,0
00:10:00,148.1999969,168,0
00:10:04,147.0,165,0
00:10:08,146.6000061,162,37
00:10:12,146.1999969,161,39
00:10:16,145.6000061,159,0
00:10:20,146.6000061,156,46
00:10:24,147.6000061,155,46
00:10:28,148.0,153,46
00:10:32,146.8000031,150,49
00:10:36,146.6000061,147,52
00:10:40,146.1999969,144,60
00:10:44,146.0,141,59
00:10:48,146.0,138,0
00:10:52,145.3999939,135,0
00:10:56,145.1999969,135,0
00:11:00,144.6000061,135,0
00:11:04,144.1999969,132,0
00:11:08,145.1999969,129,0
00:11:12,145.3999939,133,43
00:11:16,145.6000061,136,43
00:11:20,146.6000061,139,44
00:11:24,146.8000031,142,44
00:11:28,147.1999969,146,44
00:11:32,147.3999939,149,36
00:11:36,148.0,152,45
00:11:40,148.6000061,155,36
00:11:44,148.8000031,158,46
00:11:48,149.0,162,49
00:11:52,149.1999969,165,48
00:11:56,149.3999939,168,48
00:12:00,149.1999969,165,0
00:12:04,148.8000031,161,0
00:12:08,148.1999969,156,0
00:12:12,147.8000031,156,0
00:12:16,147.6000061,152,0
00:12:20,148.0,153,54
00:12:24,147.8000031,156,54
00:12:28,147.6000061,159,48
00:12:32,147.8000031,162,49
00:12:36,148.0,164,47
00:12:40,150.0,161,57
00:12:44,151.0,161,50
00:12:48,152.1999969,161,43
00:12:52,153.1999969,158,52
00:12:56,153.6000061,158,50
00:13:00,154.1999969,156,48
00:13:04,154.8000031,158,48
00:13:08,154.8000031,157,48
00:13:12,155.0,158,48
00:13:16,155.6000061,161,48
00:13:20,156.0,160,41
00:13:24,156.6000061,162,47
00:13:28,157.0,164,48
00:13:32,159.0,168,46
00:13:36,159.8000031,171,48
00:13:40,161.3999939,174,49
