creator;version;href;ns1:text;ns1:time;ns1:name;ns1:desc;ns1:type;lat;lon;ns1:ele;ns1:time2;ns2:hr;ns2:cad
Garmin Connect;1,1;connect.garmin.com;Garmin Connect;2020-02-24T04:50:47.000Z;Лыжи в Красногорске;16 кругов по 1,4 км без остановок + 2 по 600 м. На стадион не пускали, поэтому было много подъёмов, на них каша. В 9 утра проехал ратрак, выглянуло солнышко, и стало приятнее кататься. Готовимся к марафону в Дёмино;skate_skiing_ws;55.83863421343266963958740234375;37.32440200634300708770751953125;146,6000061;2020-02-24T04:50:52.000Z;122;0
Garmin Connect;1,1;connect.garmin.com;Garmin Connect;2020-02-24T04:50:47.000Z;Лыжи в Красногорске;16 кругов по 1,4 км без остановок + 2 по 600 м. На стадион не пускали, поэтому было много подъёмов, на них каша. В 9 утра проехал ратрак, выглянуло солнышко, и стало приятнее кататься. Готовимся к марафону в Дёмино;skate_skiing_ws;55,83870068;37,32438231;146,3999939;2020-02-24T04:50:55.000Z;125;0
Garmin Connect;1,1;connect.garmin.com;Garmin Connect;2020-02-24T04:50:47.000Z;Лыжи в Красногорске;16 кругов по 1,4 км без остановок + 2 по 600 м. На стадион не пускали, поэтому было много подъёмов, на них каша. В 9 утра проехал ратрак, выглянуло солнышко, и стало приятнее кататься. Готовимся к марафону в Дёмино;skate_skiing_ws;55.83905884064733982086181640625;37,32389163;146;2020-02-24T04:51:08.000Z;126;0
Garmin Connect;1,1;connect.garmin.com;Garmin Connect;2020-02-24T04:50:47.000Z;Лыжи в Красногорске;16 кругов по 1,4 км без остановок + 2 по 600 м. На стадион не пускали, поэтому было много подъёмов, на них каша. В 9 утра проехал ратрак, выглянуло солнышко, и стало приятнее кататься. Готовимся к марафону в Дёмино;skate_skiing_ws;55.83933996967971324920654296875;37,3236442;145,6000061;2020-02-24T04:51:16.000Z;125;0
Garmin Connect;1,1;connect.garmin.com;Garmin Connect;2020-02-24T04:50:47.000Z;Лыжи в Красногорске;16 кругов по 1,4 км без остановок + 2 по 600 м. На стадион не пускали, поэтому было много подъёмов, на них каша. В 9 утра проехал ратрак, выглянуло солнышко, и стало приятнее кататься. Готовимся к марафону в Дёмино;skate_skiing_ws;55.83945597521960735321044921875;37.32342635281383991241455078125;144,6000061;2020-02-24T04:51:19.000Z;123;0
Garmin Connect;1,1;connect.garmin.com;Garmin Connect;2020-02-24T04:50:47.000Z;Лыжи в Красногорске;16 кругов по 1,4 км без остановок + 2 по 600 м. На стадион не пускали, поэтому было много подъёмов, на них каша. В 9 утра проехал ратрак, выглянуло солнышко, и стало приятнее кататься. Готовимся к марафону в Дёмино;skate_skiing_ws;55,83951825;37,32315486;144,8000031;2020-02-24T04:51:22.000Z;123;0
Garmin Connect;1,1;connect.garmin.com;Garmin Connect;2020-02-24T04:50:47.000Z;Лыжи в Красногорске;16 кругов по 1,4 км без остановок + 2 по 600 м. На стадион не пускали, поэтому было много подъёмов, на них каша. В 9 утра проехал ратрак, выглянуло солнышко, и стало приятнее кататься. Готовимся к марафону в Дёмино;skate_skiing_ws;55.83953476510941982269287109375;37,32300214;145,1999969;2020-02-24T04:51:24.000Z;126;42
Garmin Connect;1,1;connect.garmin.com;Garmin Connect;2020-02-24T04:50:47.000Z;Лыжи в Красногорске;16 кругов по 1,4 км без остановок + 2 по 600 м. На стадион не пускали, поэтому было много подъёмов, на них каша. В 9 утра проехал ратрак, выглянуло солнышко, и стало приятнее кататься. Готовимся к марафону в Дёмино;skate_skiing_ws;55.83957449533045291900634765625;37,32275186;145;2020-02-24T04:51:29.000Z;123;36
Garmin Connect;1,1;connect.garmin.com;Garmin Connect;2020-02-24T04:50:47.000Z;Лыжи в Красногорске;16 кругов по 1,4 км без остановок + 2 по 600 м. На стадион не пускали, поэтому было много подъёмов, на них каша. В 9 утра проехал ратрак, выглянуло солнышко, и стало приятнее кататься. Готовимся к марафону в Дёмино;skate_skiing_ws;55,83954507;37,32248398;145,8000031;2020-02-24T04:51:36.000Z;126;36
Garmin Connect;1,1;connect.garmin.com;Garmin Connect;2020-02-24T04:50:47.000Z;Лыжи в Красногорске;16 кругов по 1,4 км без остановок + 2 по 600 м. На стадион не пускали, поэтому было много подъёмов, на них каша. В 9 утра проехал ратрак, выглянуло солнышко, и стало приятнее кататься. Готовимся к марафону в Дёмино;skate_skiing_ws;55.83951783366501331329345703125;37.32237760908901691436767578125;146,3999939;2020-02-24T04:51:39.000Z;131;35
